1	3884	1
1	1081	1
1	1633	1
1	1409	1
1	1367	1
1	3790	1
1	2071	1
1	2688	1
1	515	1
1	1566	1
2	372	1
2	1927	1
2	2681	1
2	3927	1
2	3635	1
2	156	1
2	2144	1
2	967	1
2	2974	1
2	1965	1
3	3507	1
3	2985	1
3	1526	1
3	1206	1
3	2860	1
3	1483	1
3	507	1
3	22	1
3	2830	1
3	935	1
4	3552	1
4	521	1
4	1343	1
4	3113	1
4	2524	1
4	3367	1
4	1225	1
4	2259	1
4	215	1
4	3679	1
5	3453	1
5	3773	1
5	671	1
5	2429	1
5	1644	1
5	3628	1
5	2001	1
5	830	1
5	2637	1
5	3640	1
6	2736	1
6	1641	1
6	2990	1
6	714	1
6	2905	1
6	2554	1
6	272	1
6	2531	1
6	3478	1
6	3200	1
7	3611	1
7	1713	1
7	2642	1
7	1754	1
7	3682	1
7	1888	1
7	3114	1
7	965	1
7	38	1
7	2767	1
8	3913	1
8	2465	1
8	2037	1
8	3817	1
8	1294	1
8	3260	1
8	1425	1
8	1950	1
8	908	1
8	3043	1
9	3450	1
9	2023	1
9	190	1
9	233	1
9	2481	1
9	1264	1
9	2875	1
9	1033	1
9	510	1
9	1624	1
10	1365	1
10	3049	1
10	3606	1
10	392	1
10	1186	1
10	1447	1
10	1051	1
10	2951	1
10	1010	1
10	2919	1
11	437	1
11	556	1
11	3860	1
11	1497	1
11	2586	1
11	73	1
11	3190	1
11	1759	1
11	1459	1
11	2540	1
12	3298	1
12	1910	1
12	3821	1
12	1442	1
12	1939	1
12	3217	1
12	437	1
12	2119	1
12	465	1
12	2859	1
13	430	1
13	2285	1
13	2840	1
13	3791	1
13	2625	1
13	3831	1
13	2730	1
13	231	1
13	2361	1
13	990	1
14	3645	1
14	3788	1
14	3805	1
14	551	1
14	2994	1
14	2170	1
14	1003	1
14	2643	1
14	3349	1
14	2354	1
15	3495	1
15	2031	1
15	1227	1
15	3358	1
15	1940	1
15	3397	1
15	1299	1
15	569	1
15	3545	1
15	453	1
16	1081	1
16	3488	1
16	437	1
16	234	1
16	1285	1
16	2336	1
16	3605	1
16	1885	1
16	1069	1
16	3429	1
17	671	1
17	1304	1
17	113	1
17	2447	1
17	2263	1
17	3176	1
17	2875	1
17	3520	1
17	2155	1
17	632	1
18	1380	1
18	3308	1
18	1552	1
18	2273	1
18	2386	1
18	3384	1
18	3505	1
18	3351	1
18	2104	1
18	3900	1
19	3428	1
19	1018	1
19	1354	1
19	2132	1
19	1798	1
19	2535	1
19	1783	1
19	2153	1
19	2005	1
19	2616	1
20	1909	1
20	2746	1
20	1784	1
20	1767	1
20	1635	1
20	3271	1
20	3266	1
20	1220	1
20	2193	1
20	1605	1
21	893	1
21	1883	1
21	1824	1
21	786	1
21	353	1
21	1575	1
21	849	1
21	810	1
21	2463	1
21	2046	1
22	1997	1
22	1496	1
22	2424	1
22	2025	1
22	3179	1
22	700	1
22	1719	1
22	2154	1
22	3820	1
22	925	1
23	2784	1
23	4	1
23	835	1
23	2905	1
23	2099	1
23	1116	1
23	2314	1
23	3104	1
23	2180	1
23	1518	1
24	1355	1
24	2160	1
24	3467	1
24	2147	1
24	2188	1
24	1869	1
24	2860	1
24	1051	1
24	231	1
24	147	1
25	449	1
25	958	1
25	331	1
25	2880	1
25	3622	1
25	227	1
25	3735	1
25	2416	1
25	3465	1
25	2727	1
26	824	1
26	1545	1
26	227	1
26	3272	1
26	2393	1
26	903	1
26	3667	1
26	3885	1
26	2585	1
26	3178	1
27	1746	1
27	2475	1
27	1966	1
27	171	1
27	3947	1
27	3591	1
27	2181	1
27	2326	1
27	538	1
27	3675	1
28	2460	1
28	2116	1
28	3215	1
28	2956	1
28	3623	1
28	799	1
28	2291	1
28	3114	1
28	2471	1
28	2741	1
29	1859	1
29	2074	1
29	296	1
29	2257	1
